Date,Open,Higt,Low,Close,Volume,RSI,RSISignal,CCI,CCISignal,UpDI,DownDI,ADX,PDI,MDI,WilliamsR,WilliamsD,MACD,MACDSignal,MACDOscillator,Close5ma,Close10ma,Close20ma,Close60ma,INDNB,INSNB,FNB,Call,EX,SSR
2013-05-08,18740,18800,18377,18498,289632,0.6381,0.621,84.51,83.19,26.19,13.4,0.2833,0.2619,0.134,-0.2233,-0.1566,95.17,-27.75,122.92,100.11,100.61,103.21,99.44,8542,-10008,1546,2.77,1086.5,9.77
2013-05-09,18438,18498,18176,18256,483234,0.7074,0.6383,18.63,70.28,23.32,18.77,0.2599,0.2332,0.1877,-0.3628,-0.2597,85.04,-5.19,90.23,98.84,99.32,101.65,98.46,15091,-46852,31636,2.51,1091,4.49
2013-05-10,18277,18397,18075,18135,381785,0.611,0.6328,-44.27,47.37,20.7,20.19,0.2269,0.207,0.2019,-0.5655,-0.4126,66.48,9.14,57.34,98.4,98.75,100.79,98.16,14782,-45569,30794,2.51,1106.05,2.62
2013-05-13,18135,18196,17571,17632,676524,0.4752,0.6013,-225.23,-7.15,16.54,32.33,0.2398,0.1654,0.3233,-0.9548,-0.6837,11.06,9.53,1.53,96.56,96.36,97.85,95.71,26798,-46048,21465,2.5,1111.7,7.64
2013-05-14,17732,17793,17410,17430,629018,0.3171,0.5445,-248.27,-55.38,14.49,33.54,0.2607,0.1449,0.3354,-0.9868,-0.8352,-48.6,-2.1,-46.51,96.89,95.78,96.51,94.83,42603,-29741,-12466,2.51,1106.6,6.29
2013-05-15,17531,17632,17289,17329,359697,0.3094,0.4975,-197.12,-83.73,12.84,33.74,0.2858,0.1284,0.3374,-0.9755,-0.9054,-102.85,-22.25,-80.6,97.59,95.65,96.02,94.5,22820,-22042,-839,2.51,1114.5,9.35
2013-05-16,17390,17793,17390,17692,605347,0.3958,0.4771,-110.78,-89.14,16.14,28.64,0.2849,0.1614,0.2864,-0.7531,-0.8292,-115.22,-40.84,-74.38,100.27,97.98,98.01,96.65,736,13523,-14259,2.51,1116.4,38
2013-05-20,17652,18015,17652,17853,476837,0.4275,0.4672,-55.68,-82.44,21.53,25.21,0.2574,0.2153,0.2521,-0.6544,-0.7418,-110.76,-54.83,-55.93,101.51,99.14,98.67,97.68,-16371,18014,-1643,2.5,1116.8,20.85
2013-05-21,17732,17954,17652,17833,474004,0.3972,0.4532,-51.24,-76.2,19.31,22.61,0.2336,0.1931,0.2261,-0.6667,-0.7042,-107.6,-65.38,-42.22,101.17,99.38,98.49,97.72,-13252,48969,-35717,2.5,1110.6,16.97
2013-05-22,17853,17954,17612,17652,355469,0.4144,0.4454,-56.29,-72.22,17.02,21.31,0.2174,0.1702,0.2131,-0.7776,-0.7409,-118.33,-75.97,-42.36,99.89,99,97.52,96.9,7467,-26712,19245,2.5,1114,4.08
2013-05-23,17591,17773,17188,17188,314280,0.3224,0.4208,-103.55,-78.49,13.78,31.03,0.2397,0.1378,0.3103,-1,-0.8705,-162.41,-93.26,-69.15,97.42,97.11,95.26,94.55,-10199,-3509,13750,2.5,1128.7,0.45
2013-05-24,17329,17470,17007,17108,416602,0.3057,0.3978,-119.83,-86.76,11.74,32.22,0.2698,0.1174,0.3222,-0.9472,-0.9088,-201.47,-114.9,-86.57,97.61,97.29,95.13,94.3,-2261,-20834,23069,2.5,1127.4,2.84
2013-05-27,17128,17188,16664,16725,678023,0.2426,0.3668,-157.66,-100.94,9.84,37.6,0.3119,0.0984,0.376,-0.973,-0.9409,-260.33,-143.99,-116.34,96.67,95.88,93.41,92.4,38366,-42005,15149,2.5,1122.4,1.11
2013-05-28,16725,16846,16664,16846,629588,0.2001,0.3334,-147.61,-110.27,9.24,35.31,0.3483,0.0924,0.3531,-0.9148,-0.9279,-293.83,-173.96,-119.87,98.49,97.01,94.47,93.28,-6585,-13249,19729,2.49,1126.9,3.29
2013-05-29,16926,17470,16906,17370,536755,0.3373,0.3342,-58.26,-99.87,26.87,28.46,0.3057,0.2687,0.2846,-0.615,-0.7714,-274.92,-194.15,-80.78,101.89,100.06,97.7,96.33,-30435,18182,12253,2.49,1132.9,2.29
2013-05-30,17350,17712,17047,17269,537539,0.3516,0.3377,-30.72,-86.04,28.7,22.97,0.2797,0.287,0.2297,-0.6509,-0.7112,-265.04,-208.33,-56.71,101.2,99.51,97.37,95.94,15302,-6764,-8561,2.49,1127.4,14.45
2013-05-31,17269,17269,16967,17188,421188,0.3559,0.3413,-65.47,-81.92,26.07,23.29,0.2499,0.2607,0.2329,-0.658,-0.6846,-260.73,-218.81,-41.92,100.63,99.33,97.22,95.65,10551,6007,-16558,2.5,1129.7,10.33
