일자,시가,고가,저가,종가,Close5ma,Close10ma,Close20ma,Close60ma,거래량,RSI,CCI,ADX,WilliamsR,UpDI,DownDI,Net Institutional Buying,외국인 순매수
2022-12-12,"59,900","60,000","59,400","59,500",100.1,98.62,97.77,101.96,"9,036,472",44.86%,-69.33,15.95%,-78.72%,28.62,28.5,"-549,908","-741,036"
2022-12-09,"59,300","60,600","59,300","60,400",101.34,100.02,99.06,103.61,"10,529,632",45.28%,-40.4,18.38%,-59.57%,32.33,32.21,"2,256,241","195,303"
2022-12-08,"58,700","59,200","58,600","59,200",99.33,97.93,96.89,101.65,"12,986,815",36.73%,-139.88,21.18%,-85.11%,19.67,38.24,"215,875","-462,314"
2022-12-07,"58,800","59,600","58,500","58,900",97.71,97.08,96.3,101.17,"12,100,662",37.37%,-171.67,19.50%,-91.49%,21.14,41.09,"338,574","-1,140,756"
2022-12-06,"59,800","60,100","59,200","59,200",97.14,97.24,96.55,101.78,"13,888,300",33.94%,-173.27,17.57%,-100.00%,23.99,38.06,"-785,727","-1,940,099"
2022-12-05,"60,900","61,100","60,000","60,300",98.5,98.82,98.14,103.77,"13,767,787",39.60%,-94.59,16.79%,-85.29%,27.16,33.47,"632,722","-1,764,984"
2022-12-02,"62,500","62,500","60,400","60,400",98.73,98.81,98.31,104.04,"15,331,184",42.86%,-33.09,17.77%,-82.35%,30.67,33.1,"-2,044,276","-2,465,327"
2022-12-01,"63,100","63,200","62,300","62,600",102.12,102.17,101.97,107.93,"16,631,445",48.39%,138.91,19.91%,-17.65%,39.53,17.71,"233,136","3,106,678"
2022-11-30,"60,400","62,200","60,200","62,200",101.87,101.72,101.6,107.4,"19,768,903",57.89%,7.87,17.11%,-29.41%,31.77,19.98,"-2,227,487","5,559,793"
2022-11-29,"59,900","60,600","59,800","60,600",99.64,99.02,99.2,104.75,"7,014,160",43.86%,-111.59,16.24%,-76.47%,17.95,25.71,"611,244","-292,658"
2022-11-28,"60,500","60,500","59,800","60,100",98.82,97.91,98.43,103.91,"8,589,032",42.34%,-154.67,16.00%,-91.18%,18.55,28.54,"-1,314,045","208,014"
2022-11-25,"61,400","61,700","60,800","61,000",99.87,99.09,99.96,105.51,"6,677,933",53.39%,-57.24,15.20%,-75.86%,21.65,19.38,"-380,721","426,840"
2022-11-24,"61,200","61,700","60,900","61,400",100.26,99.43,100.92,106.27,"8,125,010",58.20%,-20.97,16.69%,-47.37%,24.3,20.38,"54,595","570,633"
2022-11-23,"61,200","61,300","60,700","61,000",99.61,98.95,100.42,105.62,"8,765,050",57.50%,-31.71,17.91%,-45.83%,21.63,22.5,"160,433","114,745"
2022-11-22,"60,900","61,200","60,300","60,600",98.41,98.14,99.89,104.97,"9,411,289",54.17%,-37.1,20.36%,-50.98%,22.26,24.42,"142,853","-421,904"
2022-11-21,"61,400","61,800","60,800","61,400",99.13,99.24,101.45,106.4,"9,378,097",56.03%,12.32,22.78%,-35.29%,25.18,21.65,"742,563","-1,021,864"
2022-11-18,"61,800","62,400","61,400","61,800",99.61,100.08,102.45,107.17,"12,236,503",60.17%,49.14,25.12%,-27.45%,28.1,17.22,"76,930","704,130"
2022-11-17,"62,000","62,000","61,300","61,400",98.62,99.82,102.28,106.53,"13,298,296",65.19%,40.16,25.29%,-34.62%,26.77,19.13,"102,220","-1,845,722"
2022-11-16,"62,400","62,700","61,700","62,700",101.03,102.3,104.96,108.8,"12,909,260",61.11%,88.38,26.62%,-8.33%,30.96,17.66,"-82,448","1,043,825"
2022-11-15,"62,200","62,500","61,600","62,400",100.78,102.33,105.07,108.32,"12,310,986",60.56%,94.16,26.51%,-13.33%,32.13,19.55,"175,090","639,370"
2022-11-14,"62,900","62,900","61,700","61,900",100.16,101.91,104.75,107.51,"15,973,416",63.64%,114.48,26.85%,-21.67%,35.06,20.32,"-805,915","-202,105"
2022-11-11,"63,100","63,200","62,300","62,900",102.34,103.98,106.92,109.28,"20,037,163",68.49%,179.61,26.88%,-4.84%,39.19,16.83,"3,313,014","2,928,771"
2022-11-10,"61,400","61,500","60,400","60,400",99.41,100.78,103.25,105.02,"21,087,633",66.42%,88.89,24.88%,-32.73%,32.46,22.09,"905,706","-3,976,286"
2022-11-09,"62,000","62,200","61,300","62,000",102.45,103.61,106.46,107.81,"14,045,592",76.00%,163.76,25.78%,-2.82%,38.41,15.83,"1,789,078","251,119"
2022-11-08,"60,500","61,900","60,500","61,800",102.93,103.73,106.68,107.56,"18,273,898",73.81%,144.94,23.34%,-1.47%,38.9,17.38,"2,339,446","2,874,928"
2022-11-07,"59,700","60,300","59,400","60,200",100.87,101.74,104.5,104.83,"12,437,246",65.81%,87.39,21.04%,-1.92%,28.34,20.7,"1,224,403","934,130"
2022-11-04,"59,100","59,500","58,400","59,400",99.8,100.85,103.47,103.42,"12,445,841",62.73%,55.8,21.89%,-17.31%,22.52,22.7,"218,779","-218,443"
2022-11-03,"58,600","59,800","58,100","59,200",100.17,101.11,103.4,103,"17,492,162",63.06%,61.19,25.19%,-21.15%,25.07,25.27,"-2,439,482","1,436,806"
2022-11-02,"59,700","60,000","59,300","59,600",100.74,102.44,104.39,103.63,"13,202,919",68.64%,99.71,29.01%,-13.46%,29.57,17.15,"-1,717,632","1,484,424"
2022-11-01,"59,900","60,300","59,500","60,000",101.49,103.81,105.49,104.28,"17,201,647",67.50%,132.56,29.38%,-5.77%,31.59,16.37,"974,290","685,691"
2022-10-31,"58,100","59,900","58,000","59,400",101.26,103.39,105.08,103.18,"18,999,514",66.95%,117.55,29.02%,-14.00%,30.53,17.72,"254,919","4,149,091"
2022-10-28,"58,900","59,200","57,200","57,300",98.32,100.23,101.98,99.48,"20,924,937",55.24%,71.22,29.40%,-45.90%,31.47,22.32,"858,649","-2,537,958"
2022-10-27,"59,700","60,100","58,900","59,500",102.59,104.26,106.31,103.18,"21,756,712",69.05%,193.86,31.31%,-9.84%,39.3,9.48,"1,925,573","-354,694"
2022-10-26,"58,000","59,600","57,700","59,400",103.85,104.87,106.63,102.93,"20,824,967",69.77%,233.11,26.72%,-3.57%,39,10.68,"804,940","5,266,142"
2022-10-25,"57,000","58,600","57,000","57,700",102.16,102.52,104.1,99.92,"17,405,678",66.23%,209.26,22.06%,-19.57%,36.13,12.94,"1,317,069","791,820"
2022-10-24,"57,000","57,500","56,700","57,500",102.24,102.59,104.03,99.46,"16,944,503",72.92%,174.49,18.18%,0.00%,30.2,15.29,"1,580,302","3,587,643"
2022-10-21,"55,100","56,300","55,100","55,900",99.71,99.96,101.42,96.59,"11,456,060",69.41%,6.29,15.93%,-25.45%,21.82,18.14,"1,244,441","211,364"
2022-10-20,"55,200","56,000","55,100","55,500",98.86,99.18,100.75,95.75,"17,107,653",65.48%,2.17,16.97%,-32.73%,21.38,20.65,"-1,481,023","1,156,692"
2022-10-19,"56,700","56,900","55,700","55,800",99.5,99.63,101.27,96.09,"12,660,652",58.51%,48.66,19.32%,-27.27%,23.49,16.11,"-151,654","-933,499"
2022-10-18,"56,700","57,100","55,800","56,500",100.75,100.98,102.49,97.17,"14,820,702",64.44%,74.32,19.42%,-14.55%,26.52,17.11,"-388,660","-1,238,317"
