Date,Open,Higt,Low,Close,Volume,RSI,RSISignal,CCI,CCISignal,UpDI,DownDI,ADX,PDI,MDI,WilliamsR,WilliamsD,MACD,MACDSignal,MACDOscillator,Close5ma,Close10ma,Close20ma,Close60ma,INDNB,INSNB,FNB,Call,EX,SSR
2013-03-15,102012,103587,101224,101224,55637,0.5263,0.6263,12.91,34.61,17.02,16.48,0.2722,0.1702,0.1648,-0.5834,-0.4755,457.86,415.01,42.85,99.3,99.07,100,100.04,-3166,14190,-11035,2.74,1110.3,2.62
2013-03-18,100830,102012,99649,101224,31384,0.5263,0.6063,-96.07,8.47,14.51,23.88,0.2684,0.1451,0.2388,-0.5834,-0.5294,382.02,408.41,-26.39,99.54,99.11,99.86,100.1,-4062,2536,1576,2.74,1114.6,10.1
2013-03-19,100830,101618,100830,101224,16321,0.5556,0.5961,-79.39,-9.1,13.73,22.6,0.2652,0.1373,0.226,-0.5834,-0.5564,318.26,390.38,-72.12,99.69,99.19,99.71,100.16,-2645,4495,-1850,2.74,1111.55,3.14
2013-03-20,102406,102406,100436,100436,21103,0.4444,0.5658,-102.25,-27.73,17.26,19.57,0.2382,0.1726,0.1957,-0.7501,-0.6533,201.81,352.67,-150.86,99.14,98.65,98.86,99.35,117,4665,-4782,2.74,1116.1,4.21
2013-03-21,100436,101224,99649,100042,17661,0.3889,0.5304,-150.66,-52.32,15.36,22.92,0.2327,0.1536,0.2292,-0.8335,-0.7434,76.85,297.5,-220.66,99.22,98.49,98.51,98.94,-1299,3396,-2097,2.74,1115.7,0.98
2013-03-22,99649,100830,99255,99255,19779,0.35,0.4943,-155.05,-72.86,13.63,23.15,0.2363,0.1363,0.2315,-1,-0.8717,-84.72,221.06,-305.77,98.82,98.09,97.85,98.15,-314,5964,-5650,2.74,1119.3,9.1
2013-03-25,100042,102012,99255,100436,38828,0.409,0.4773,-78.14,-73.92,19.05,18.86,0.2054,0.1905,0.1886,-0.7501,-0.8109,-116.12,153.62,-269.74,100.16,99.45,99.03,99.24,-4390,5201,-811,2.74,1110.8,4
2013-03-26,100042,100830,99255,99649,52801,0.3181,0.4454,-112.02,-81.54,16.97,16.8,0.1787,0.1697,0.168,-0.9166,-0.8638,-202.18,82.46,-284.64,99.69,98.91,98.31,98.44,2845,5561,-8406,2.74,1105.7,2.83
2013-03-27,100436,102012,99649,101224,45273,0.44,0.4443,-24.81,-70.19,22.22,14.14,0.1845,0.2222,0.1414,-0.5834,-0.7236,-141.66,37.64,-179.3,101.1,100.51,99.83,100,-5573,3430,2193,2.74,1111.6,0.01
2013-03-28,101224,103193,100436,100830,70972,0.375,0.4305,39.7,-48.21,25.85,11.65,0.2104,0.2585,0.1165,-0.6364,-0.68,-124.07,5.3,-129.36,100.55,100.27,99.46,99.62,6044,20437,-9821,2.74,1112.7,2.46
2013-03-29,102012,103587,102012,102012,59651,0.48,0.4404,150.23,-8.53,23.9,9.68,0.2388,0.239,0.0968,-0.3636,-0.5218,-14.57,1.32,-15.9,101.17,101.37,100.6,100.82,-4148,-268,4361,2.75,1111.1,0.3
2013-04-01,103193,104769,102012,103193,49366,0.5555,0.4634,191.46,31.47,26.99,8.1,0.2787,0.2699,0.081,-0.2858,-0.4038,165.59,34.18,131.41,101.79,102.34,101.69,102,-4651,14868,-10217,2.74,1114.8,0.53
2013-04-02,104769,105951,103193,103193,69628,0.5769,0.4861,185.76,62.33,29.5,6.82,0.3248,0.295,0.0682,-0.4119,-0.4078,304.85,88.31,216.54,101.08,102.14,101.63,102.02,-8914,14834,-5778,2.74,1118,0.43
2013-04-03,103587,104769,101224,103193,36564,0.5416,0.4972,96.63,69.19,23.89,16.09,0.3075,0.2389,0.1609,-0.4119,-0.4099,410.49,152.75,257.74,100.69,101.87,101.61,102.04,-7361,11220,-3859,2.74,1117.5,8.36
2013-04-04,103193,103193,100830,101618,47178,0.52,0.5018,23.23,60,20.84,16.16,0.2834,0.2084,0.1616,-0.6471,-0.5285,362.94,194.78,168.15,99,100.16,100.1,100.53,2256,17835,-20091,2.74,1123.8,3.29
2013-04-05,100830,101224,98861,100042,62744,0.4482,0.4911,-85.17,30.97,17.79,24.26,0.2661,0.1779,0.2426,-0.8334,-0.681,195.82,194.99,0.83,97.84,98.53,98.7,99.03,-4857,26443,-21586,2.74,1131.8,5.34
2013-04-08,101224,101224,99255,100042,33634,0.4482,0.4825,-68.67,11.04,15.87,21.65,0.2512,0.1587,0.2165,-0.8334,-0.7572,62.66,168.52,-105.87,98.45,98.56,98.81,99.12,-3175,12787,-11178,2.74,1140.1,5.14
2013-04-09,100436,101224,98467,99649,47288,0.4643,0.4789,-80.28,-7.23,13.52,22.68,0.2514,0.1352,0.2268,-0.8421,-0.7996,-73.74,120.07,-193.81,98.75,98.18,98.54,98.8,-4390,9257,-4867,2.75,1139.4,7.7
2013-04-10,99255,100830,98467,100830,32070,0.5334,0.4898,-64.41,-18.66,11.79,19.78,0.2517,0.1179,0.1978,-0.6843,-0.7419,-85.55,78.95,-164.49,100.39,99.38,99.75,100.05,-6648,1573,5025,2.75,1135.7,8.51
2013-04-11,102012,102012,99649,101224,43076,0.5862,0.5091,-21.54,-19.24,16.7,17.23,0.2202,0.167,0.1723,-0.6316,-0.6868,-62.39,50.68,-113.07,100.86,99.73,100.19,100.44,-7756,3124,4632,2.74,1129.1,5.53
2013-04-12,101618,102012,99255,100042,66268,0.4827,0.5038,-50.11,-25.41,14.24,16.8,0.2018,0.1424,0.168,-0.7896,-0.7382,-137.83,12.98,-150.81,99.69,98.76,99.08,99.3,2528,-13456,10978,2.74,1129.15,2.44
2013-04-15,99255,100436,98861,99255,48483,0.4827,0.4996,-97.74,-39.88,12.98,17.53,0.1948,0.1298,0.1753,-0.8947,-0.8164,-258.15,-41.25,-216.9,99.06,98.36,98.4,98.55,-3667,8093,-6462,2.74,1120.5,3.47
